year,ekey,akey,medal
1992,516,647,
1972,513,648,
1972,466,648,
1968,604,649,
1972,324,649,
2016,122,650,
2016,223,650,
2008,604,651,
2016,284,652,
2016,284,653,
1984,99,654,S
1984,558,655,
1968,90,656,
1972,90,656,
1976,513,657,
2016,390,658,
1992,420,659,
2016,629,660,
1960,582,661,
2012,188,662,
2004,11,663,
2008,11,663,
2016,11,663,
2012,582,664,
2000,390,666,
1964,420,667,
2016,475,668,
1992,420,669,B
1984,466,670,S
1984,212,672,
1988,217,673,B
1988,167,674,
1992,167,674,B
1996,217,674,
2000,229,675,
2008,229,675,
1900,381,676,
1924,554,677,
1984,300,678,
1984,111,678,
2012,401,681,
1996,389,682,
2000,389,682,
2012,185,683,
2016,185,683,
1984,408,684,
1988,408,684,
2012,616,685,
1976,251,686,
2008,56,687,
2012,56,687,
1980,385,688,
1956,381,689,
1956,38,689,
1960,381,689,
1960,38,689,
2012,553,690,B
2016,506,690,S
1988,54,691,
1988,110,691,
1956,577,692,
1964,203,693,
1988,430,694,
1988,475,694,
1988,61,695,
1924,39,696,
1920,439,697,G
1976,344,698,G
1920,72,699,G
2004,112,700,
1996,180,701,
1968,477,703,
1932,123,704,
2000,28,707,
1992,620,708,
1996,620,708,
1972,54,709,
1972,348,709,
2016,420,710,
1936,258,711,
1960,366,712,
1964,466,712,
1968,574,713,
1968,552,713,
1972,574,713,
1972,552,713,
1936,212,714,
2016,360,715,
2008,420,716,G
1984,572,717,
1968,122,718,
1968,136,718,
2008,403,719,
2012,403,719,
2016,422,720,
2016,508,720,
2016,400,720,
2016,218,721,
1952,240,722,
1952,28,722,
2008,245,723,B
1980,420,724,
2008,616,725,
2016,616,726,
1948,582,727,
1952,582,727,B
1952,240,728,
1952,28,728,
2008,420,729,
1964,420,730,
1968,420,731,
1972,420,731,
1964,420,732,
1936,545,733,
1936,621,733,
1948,17,734,
1948,126,734,
1952,432,734,
1952,87,734,
1996,491,737,
2000,491,737,
2004,491,737,
2008,491,737,
2012,491,737,
2008,422,738,
2012,162,738,
1972,66,739,
1948,582,740,
1996,290,741,
2016,582,742,
2016,543,743,
1924,420,744,
1980,203,745,B
1936,587,747,
2012,47,748,
2004,276,749,
2016,496,750,
1992,72,751,
2012,329,752,
1984,109,754,
1984,366,754,
2000,59,755,
2004,59,755,
2004,251,756,
1900,381,757,
1900,422,758,
2008,578,759,
2016,230,760,
2008,202,761,
1936,541,762,G
1988,28,763,
2012,240,764,
1992,422,765,
1992,508,765,
1992,197,765,
1976,51,766,
1976,515,766,S
1980,38,766,
1908,381,767,
1908,39,767,
1912,177,767,
1912,90,767,
1992,324,768,
2016,20,769,
1992,240,770,
1992,604,770,
1992,28,770,
1972,512,771,
1976,512,771,
1988,51,773,
1988,515,773,
1992,51,773,
1992,515,773,
1912,619,774,
1912,237,774,
1936,293,775,B
1912,594,776,
1948,366,777,G
1912,496,778,
1984,150,779,
1988,220,779,
1988,150,779,
1992,220,779,
1992,150,779,
2004,620,780,
1996,212,781,
1988,56,782,
1988,501,782,
1924,587,783,
1988,517,784,
1992,420,785,S
1972,534,786,
1976,534,786,
1948,180,787,
1948,482,787,
1988,576,788,
1992,576,788,
1980,422,789,
1980,508,789,
1980,314,789,
1960,173,790,
1960,615,790,
1948,111,791,
1996,122,793,
1996,136,793,
2008,504,795,
2012,10,795,
1992,76,796,
1952,324,797,
1952,168,797,
1972,381,798,
2012,354,799,
1964,24,800,
1964,619,800,
1964,117,800,
1964,373,800,
1964,164,800,
1964,337,800,
1964,270,800,
1964,446,800,
1968,24,800,
1968,619,800,
1968,117,800,
1968,373,800,
1968,164,800,
1968,337,800,
1968,270,800,
1968,446,800,
1972,88,801,
1976,310,803,
1976,371,803,
2012,240,804,
2012,604,804,
2012,28,804,
2016,240,804,
2016,604,804,
2016,28,804,
1992,615,805,
1904,306,806,
1912,33,807,S
1912,244,807,B
1952,482,808,
1976,257,809,
2012,310,811,
2016,310,811,
2000,61,812,
1904,140,813,
1904,409,813,
1904,73,813,
1904,597,813,
1904,46,813,S
1908,217,814,
1976,28,815,
1980,240,815,
1920,217,816,
2000,381,817,
2000,38,817,
1912,623,818,
1912,19,818,
1912,468,818,
1912,544,818,G
1920,379,818,
1984,573,819,
1996,394,820,
1996,522,820,
1972,539,821,
1988,229,822,
2016,212,823,
2004,257,824,
2008,257,824,
2008,172,824,
2012,172,824,
1936,173,825,
1936,615,825,
2012,229,826,
2016,281,827,
1976,394,828,
1936,341,829,
1980,10,830,S
